Descricao;Valor
Placa De Vídeo Gainward Geforce RTX 3070 Ti Phoenix, 8gb, Gddr6x, 256bit - NED307T019P2-1046X;['10.629,41']
PC Gamer Neologic, AMD Ryzen 5 3600, 16GB, GTX 1050TI 4GB, HD 1TB, 400W 80 Plus - NLI82495;['6.069,55']
Pc Gamer Neologic Streamer Nli82428 Intel I5-9400f 16gb (rtx 2060 6gb) Ssd 240gb + Hd 1tb 600w 80 Plus;['8.368,55']
Pc Gamer Smart Pc Smt81125 Intel I5 8gb (geforce Gtx 1060 3gb) 1tb + Ssd 240gb;['4.958,05']
Kit - Pc Gamer Neologic Streamer Nli82430 Intel I5-9400f 16gb (rtx 2060 6gb) Ssd 240gb + Hd 1tb 600w 80 Plus + 2 Monitores 21,5;['10.867,05']
Pc Gamer Smart Pc Fortnite Smt81086 Intel I5 8gb (geforce Gtx 1060 3gb) 1tb;['4.701,55']
Placa de Vídeo Galax NVIDIA GeForce RTX 2060 6GB, GDDR6 - 26NRL7HPX7OC;['4.999,00']
Computador Skul Gamer 5000 Intel Core I5 9400F, 16Gb, SSD 240Gb, Rtx 2060, 6Gb, Fonte 650W;['9.685,45']
"Notebook Gamer Acer Predator Helios 300, Intel Core i7, 16GB, 1TB, 256SSD, RTX 2070, 144Hz, 15,6"", Win 10 - PH315-53-75XA";['9.499,00']
Notebook Gamer Predator Helios 300, Intel Core i7, 16GB, 512GB SSD, RTX 2070, MAX-Q 15,6'', Windows 10 - PH315-53-75NL;['9.299,00']
"Notebook Gamer Acer Predator Helios 300, Intel Core i7 10750 Hexa Core, 16GB DDR4, SSD 512GB, Geforce RTX 2060 6GB, Tela de 15.6"" com Windows 10, Preto - PH315-53-75N8";['8.299,00']
Placa de Vídeo Asus GeForce RTX 3070 TUF Gaming, 8GB, DDR6, 256 Bits - TUF-RTX3070-O8G-GAMING;['13.750,00']
Pc Gamer Neologic Dragon Diamond Nl82202 Intel I5 10400 8gb (rtx 3060 12gb) Ssd 240gb 600w 80 Plus;['9.651,05']
Pc Gamer Neologic,  Dragon Diamond Nli82207,  Intel I7 10700 16gb, rtx 3060 12gb, Ssd 240gb 600w, 80 Plus;['9.995,00']
Pc Gamer Neologic Dragon Diamond Nli82206 Intel I7 10700 8gb (rtx 3060 12gb) Ssd 240gb 600w 80 Plus;['10.506,05']
Computador Gamer Neologic Dragon Diamond NL82201, Intel I5 10400F, 16GB, RTX 3060 12GB, SSD 240GB, 600W;['9.345,00']
Pc Gamer Neologic Dragon Diamond Nl82200 Intel I5 10400f 8gb (rtx 3060 12gb) Ssd 240gb 600w 80 Plus.;['8.799,00']
Pc Gamer Neologic Dragon Diamond Nl82198 Intel I5 9400f 8gb (rtx 3060 12gb) Ssd 240gb 600w 80 Plus;['8.938,55']
Computador Gamer Neologic NL82212, Intel I7 10700, 8GB, RTX 3060 12GB, SSD 240GB, HD 1TB, 600W;['10.055,00']
Pc Gamer Neologic Dragon Diamond Nl82199 Intel I5 9400f 16gb (rtx 3060 12gb) Ssd 240gb 600w 80 Plus;['8.861,00']
Pc Gamer Neologic Dragon Diamond Nl82203 Intel I5 10400 16gb (rtx 3060 12gb) Ssd 240gb 600w 80 Plus;['10.059,55']
Placa de Vídeo Asus NVIDIA GeForce RTX 3070, 8GB, GDDR6 - RTX DUAL-RTX3070-O8G;['13.650,00']
Placa De Vídeo Colorful Nvidia GeForce RTX 2060 NB-V, 6GB, GDDR6, 192bit - 212327110831;['7.890,00']
Placa De Vídeo Asus Nvidia Tuf RTX 3080, 10GB, GDDR6X - Tuf-rtx3080-o10g-gaming;['19.800,00']
Placa de Vídeo Gpu RTX 3060 Revel Epic-x, RGB, 12GB, GDDR6, 192 Bits, Single-fan, PNY - VCG306012SFXPPBTF;['8.629,97']
Pc Gamer Neologic - Nli82405, Intel I3-10100f, 16GB, DDR4 (gtx 1060 3gb) HD, 1TB, 400W 80 Plus;['6.069,55']
Pc Gamer Neologic - Nli82404, Intel I3-10100f, 8GB DDR4 (gtx 1060 3gb) HD, 1TB, 400w, 80 Plus;['5.680,05']
Pc Gamer Neologic - Nli82403, Intel I5-10400f, 16GB, DDR4 (gtx 1060 3gb) HD, 1TB, 400W 80 Plus;['6.563,55']
Pc Gamer Neologic - Nli82400, Intel I5-9400f 8GB, DDR4, (gtx 1060 3gb) HD, 1TB 400w 80 Plus;['5.832,05']
Pc Gamer Neologic - Nli82401, Intel I5-9400f,  16GB, DDR4 (GTX 1060 3GB) HD 1TB 400W 80 Plus;['6.221,55']
Pc Gamer Neologic - Nli82402, Intel I5-10400f, 8GB, DDR4, (gtx 1060 3gb) HD, 1TB, 400W 80 Plus;['6.183,55']
Pc Gamer Neologic - Nli82406, Intel I7-10700f,  8GB, DDR4 (gtx 1060 3gb) HD 1TB 400w 80 Plus;['7.247,55']
Pc Gamer Neologic - Nli82407,  Intel I7-10700f, 16GB, DDR4 (gtx 1060 3gb) HD 1TB 400w 80 Plus;['7.637,05']
Placa De Vídeo Gainward Geforce Rtx 3060 Pegasus 12gb Gddr6 - Ne63060019k9-190ae;['6.290,00']
Kit - Pc Gamer Neologic Streamer - Nli82421 Intel I5-9400f 16GB (gtx 1060 3gb) SSD 240GB + Hd 1tb 400w 80 Plus;['7.048,05']
Pc Gamer Neologic Streamer - Nli82420, Intel I5-9400f, 16GB (gtx 1060 3gb) SSD, 240GB + Hd 1TB 400w 80 Plus;['6.544,55']
Placa De Vídeo Palit Geforce Rtx 3060 Dual Oc 12gb Gddr6;['11.016,00']
Placa de Vídeo Asus GeForce RTX 3060 TUF Gaming 12GB GDDR6 - TUF-RTX3060-O12G-GAMING;['7.899,00']
Placa De Vídeo, Zotac Gaming Geforce Rtx 3060, Twin Edge Oc 15 Gbps, 12gb, Gddr6 Ray Tracing - Zt-a30600h-10m;['7.650,00']
Placa de Vídeo GALAX GeForce RTX 3060 (1-Click OC) LHR, 15 Gbps, 12GB GDDR6, Ray Tracing, DLSS - 36NOL7MD1VOC;['5.140,90']
Placa De Video Gainward Geforce, Rtx 3060, Ghost, Ne63060019k9, 190au, 12gb, Gddr6 192, Bits Dual Fan;['4.688,99']
Placa De Video Gainward 12gb Rtx 3080 Ti, Phoenix G6x 384bits;['16.999,00']
Placa De Video Pny 12gb Rtx 3060, Revel Epic-x Rgb, Gddr6, 192 Bits, Single-fan;['7.590,00']
Notebook Gamer Legion  Lenovo I7, 16gb, 1tb+128gb Ssd, Nvidia  Geforce Rtxt 2060 - 82cf0004br;['10.445,86']
Placa De Vídeo Pny Geforce Rtx 3060 Revel Epic-x Rgb 12gb Gddr6 192 Bits - Vcg306012sfxppbtf;['7.450,00']
Computador Gamer Amd Ryzen 7 3700x Rtx 3060 12gb Ram 16gb Hd 1tb Ssd 240gb;['12.316,46']
Pc Gamer Amd Ryzen 7 5800x Rtx 3060 12gb Ram 16gb Hd 1tb Ssd 120gb;['13.487,82']
Pc Gamer Intel I7 10700kf Rtx 3060 12gb Ram 16gb Hd 1tb Ssd 240gb;['14.045,18']
