Descricao;Valor
Placa De Vídeo, Asus, Nvidia Geforce, Rtx 3070, Dual, 8gb, Gddr6;['---']
Placa De Vídeo, Palit, Geforce, Rtx 3090 Gamingpro, 24gb, Gddr6x,  Ned3090019sb-132ba;['---']
Placa De Vídeo Palit Geforce Rtx 3090 Game Rock 24gb Gddr6x - Ned3090t19sb-1021g;['---']
Placa De Video Asus Geforce Rtx 3090 Tuf Gaming 24gb Gddr6x 384 Bits - Tuf-rtx3090-o24g-gaming;['---']
Pc Gamer Neologic Nl82213 Intel I7 10700 8gb (rtx 3060 12gb) Ssd 240gb Hd 1tb 600w 80 Plus;['---']
Par De Helice Drone Dji Matrice 300 Rtk 2110 (cw + Ccw) - Paralelo;['---']
Pc Gamer Amd Ryzen 5 3600 Rtx 3060 12gb Ram 16gb Hd 1tb Ssd 120gb;['---']
Pc Gamer Amd Ryzen 7 5800x Rtx 2060 6gb Ram 16gb Hd 1tb Ssd 240gb;['---']
Computador Gamer Intel I5 10400f Rtx 3070 Ti 8gb Ram 16gb Hd 1tb Ssd 120gb;['---']
Pc Gamer Amd Ryzen 5 3600 Gtx 1660 Super 6gb Ram 16gb Hd 1tb Ssd 120gb;['---']
Pc Gamer Amd Ryzen 5 5600x Rtx 3070 Ti 8gb Ram 16gb Hd 1tb Ssd 240gb;['---']
Computador Gamer Intel I5 10400f, Rtx 3060 12gb, Ram 16gb, Hd 1tb, Ssd 120gb;['---']
Computador Gamer Intel I5 10400f, Rtx 2060 6gb, Ram 16gb, Hd 1tb, Ssd 240gb;['---']
Computador Gamer Amd Ryzen 5 3600, Gtx 1650 4gb, Ram 8gb, Hd 1tb, Ssd 120gb;['---']
Computador Gamer Amd Ryzen 5 3600, Rtx 2060 6gb, Ram 16gb, Hd 1tb, Ssd 240gb;['---']
Pc Gamer Fácil Amd Ryzen 5 3600 8gb Ddr4 Gtx 1650 4gb Ssd 480gb Fonte 500w;['---']
Pc Gamer Fácil Amd Ryzen 5 3600 8gb Ddr4 Gtx 1050ti Hd 1tb Fonte 500w;['---']
Pc Gamer Fácil Amd Ryzen 5 3600 16gb Ddr4 Gtx 1050ti 4gb Hd 1tb Fonte 500w;['---']
Pc Gamer Fácil Amd Ryzen 5 3600 8gb Ddr4 Gtx 1050ti 4gb Ssd 480gb Fonte 500w;['---']
Pc Gamer Fácil Amd Ryzen 5 3600 8gb Ddr4 Gtx 1650 4gb Hd 500gb Fonte 500w;['---']
Pc Gamer Ryzen 3600 - Asus Prime A320m-k/br, 16gb Ddr4, Ssd 240gb, Geforce Gtx 1660 Super;['---']
